Total files are count: 553

 file_number: 1, name: 94.JPG, class: Sadi_pridoniya_sok_vishnya, score: 78.10496687889099% 
 file_number: 264, name: 119.JPG, class: Risotto_porcino, score: 50.23254156112671% 

 file_number: 265, name: 159.JPG, class: Voda_Heney_kid_1L, score: 68.92680525779724% 

 file_number: 266, name: 147.JPG, class: Heinz_kasha_before_sleep, score: 84.81835126876831% 

 file_number: 267, name: photo_2020-05-11_16-58-17.jpg, class: Alfa_bank_Sereda, score: 19.239570200443268% 

 file_number: 268, name: 201.JPG, class: Plombir_fistashka, score: 92.57702827453613% 

 file_number: 269, name: 80.JPG, class: Vernel, score: 91.11374020576477% 

 file_number: 270, name: 241.JPG, class: Koska_delight, score: 82.81583189964294% 

 file_number: 271, name: photo_2020-05-11_16-58-30.jpg, class: Miratorg, score: 89.48477506637573% 

 file_number: 272, name: photo_2020-05-11_16-59-03.jpg, class: MiT_Losev, score: 15.742865204811096% 

 file_number: 273, name: 196.JPG, class: Dom_v_kotorom, score: 75.03747940063477% 

 file_number: 274, name: 219.JPG, class: Plombir_fistashka, score: 34.50162708759308% 

 file_number: 275, name: 367.JPG, class: Sensiro_Suru_cream, score: 91.93956255912781% 

 file_number: 276, name: 55.JPG, class: Muesli_ogo, score: 83.66374969482422% 

 file_number: 277, name: 335.JPG, class: Vernel, score: 65.89023470878601% 

 file_number: 278, name: 23.JPG, class: Heinz_fruits_pure, score: 28.70182991027832% 

 file_number: 279, name: 295.JPG, class: Muesli_ogo, score: 68.61536502838135% 

 file_number: 280, name: photo_2020-05-11_17-09-48.jpg, class: Leps, score: 91.88743829727173% 

 file_number: 281, name: photo_2020-05-11_16-58-51.jpg, class: MiT_Losev, score: 1.2760302983224392% 

 file_number: 282, name: 14.JPG, class: Sadi_pridoniya_sok_vishnya, score: 62.38734722137451% 

 file_number: 283, name: photo_2020-05-11_17-12-24.jpg, class: Richman_ceylon, score: 18.85285973548889% 

 file_number: 284, name: 331.JPG, class: Sadi_pridoniya_sok_vishnya, score: 60.39896607398987% 

